NewsDate,NewsTitle,Path,URL
20200219,더케이손보 품은 하나금융 '디지털 손보사 전환' 서두른다,..\rawdata\기업별 관련기사\금융그룹\하나금융그룹\20200219 더케이손보 품은 하나금융 '디지털 손보사 전환' 서두른다.md,http://www.inews24.com/view/1243925
20200219,증시 때린 화웨이 제재·애플 실적 우려...새 리스크 되나,..\rawdata\기업별 관련기사\_공통\20200219 증시 때린 화웨이 제재·애플 실적 우려...새 리스크 되나.md,https://www.sedaily.com/NewsVIew/1YYYZZ3YB0
20200220,사고 안 나면 보험료 돌려주는 보험 나온다,..\rawdata\기업별 관련기사\보험사\생보사\삼성생명\20200220 사고 안 나면 보험료 돌려주는 보험 나온다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=022&aid=0003440343
20200220,사고 안 나면 보험료 돌려주는 보험 나온다,..\rawdata\기업별 관련기사\보험사\생보사\미래에셋생명\20200220 사고 안 나면 보험료 돌려주는 보험 나온다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=022&aid=0003440343
20200220,사고 안 나면 보험료 돌려주는 보험 나온다,..\rawdata\기업별 관련기사\은행\IBK기업은행\20200220 사고 안 나면 보험료 돌려주는 보험 나온다.md,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=022&aid=0003440343
20200220,코로나19 확산 공포에…금·달러·채권 초강세(종합),..\rawdata\기업별 관련기사\_공통\20200220 코로나19 확산 공포에…금·달러·채권 초강세(종합).md,https://news.v.daum.net/v/20200220184609866?f=p
20200221,굿바이 보험아줌마…로봇 설계사 시대 온다,..\rawdata\기업별 관련기사\보험사\손보사\KB손해보험\20200221 굿바이 보험아줌마…로봇 설계사 시대 온다.md,https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361320
20200221,굿바이 보험아줌마…로봇 설계사 시대 온다,..\rawdata\기업별 관련기사\보험사\손보사\삼성화재\20200221 굿바이 보험아줌마…로봇 설계사 시대 온다.md,https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361320
20200221,굿바이 보험아줌마…로봇 설계사 시대 온다,..\rawdata\기업별 관련기사\보험사\손보사\DB손해보험\20200221 굿바이 보험아줌마…로봇 설계사 시대 온다.md,https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361320
20200221,굿바이 보험아줌마…로봇 설계사 시대 온다,..\rawdata\기업별 관련기사\보험사\생보사\ABL생명\20200221 굿바이 보험아줌마…로봇 설계사 시대 온다.md,https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361320
20200221,굿바이 보험아줌마…로봇 설계사 시대 온다,..\rawdata\기업별 관련기사\보험사\손보사\현대해상\20200221 굿바이 보험아줌마…로봇 설계사 시대 온다.md,https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361320
20200221,"DLF·라임에 데인 은행들, AI로 '불완전판매' 잡는다","..\rawdata\기업별 관련기사\은행\하나은행\20200221 DLF·라임에 데인 은행들, AI로 '불완전판매' 잡는다.md",https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361321
20200221,"DLF·라임에 데인 은행들, AI로 '불완전판매' 잡는다","..\rawdata\기업별 관련기사\은행\우리은행\20200221 DLF·라임에 데인 은행들, AI로 '불완전판매' 잡는다.md",https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361321
20200221,"DLF·라임에 데인 은행들, AI로 '불완전판매' 잡는다","..\rawdata\기업별 관련기사\은행\신한은행\20200221 DLF·라임에 데인 은행들, AI로 '불완전판매' 잡는다.md",https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361321
20200221,"DLF·라임에 데인 은행들, AI로 '불완전판매' 잡는다","..\rawdata\기업별 관련기사\은행\KB국민은행\20200221 DLF·라임에 데인 은행들, AI로 '불완전판매' 잡는다.md",https://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=008&aid=0004361321
